"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C19,C28,C11";"EDK106M025A9BAA";3;"10uF/25V";;;
2;"ZD1";"D_SOD-123";1;"BZT52C5V6";;;
3;"J3,J4";"PinHeader_1x02_P2.54mm_Horizontal";2;"Conn_01x02";;;
4;"J2";"SMA_Amphenol_901-144_Vertical";1;"Conn_Coaxial";;;
5;"R10,R5,R11";"R_1206_3216Metric";3;"100R";;;
6;"J1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"UFL-Male";;;
7;"C1,C2,C4,C5,C6,C7,C8,C9,C10,C12,C13,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C26,C27";"C_1206_3216Metric";23;"100nF";;;
8;"C3";"C_1206_3216Metric";1;"220pF";;;
9;"C25";"C_SM";1;"330pF SM";;;
10;"C31";"C_SM";1;"2200pF SM";;;
11;"D1";"D_SOD-123";1;"1N4148W";;;
12;"L1,L2";"FB_SMD";2;"L_Core_Ferrite";;;
13;"Q1";"TO-92_SMD";1;"MPSH10";;;
14;"Q2,Q3";"TO-220_HRZ";2;"RD06HHF1";;;
15;"Q4,Q5";"TO-220_HRZ";2;"RD16HHF1";;;
16;"R1,R12,R13";"R_1206_3216Metric";3;"27R";;;
17;"R2,R3";"R_1206_3216Metric";2;"180R";;;
18;"R4";"R_1206_3216Metric";1;"10k";;;
19;"R6";"R_1206_3216Metric";1;"1k5";;;
20;"R7";"R_1206_3216Metric";1;"270R";;;
21;"R8";"R_1206_3216Metric";1;"33R";;;
22;"R9";"R_1206_3216Metric";1;"82R";;;
23;"RV1,RV2,RV3,RV4";"POT";4;"2k2";;;
24;"T1,T2";"BN43-2402";2;"BN43-2402";;;
25;"T3";"BN43-1502";1;"BN43-1502";;;
26;"T4,T5";"BN43-202";2;"BN43-202";;;
